ID;imie;nazwisko;nr_telefonu;powiazanie;uzytkownik
112;GERTRUDA;MUCHA;677612326;056;268
113;PAWE£;LASKOWSKI;627192051;057;270
114;MARZENA;LASKOWSKI;628870146;057;271
115;SYLWESTER;URBANIAK;606449590;058;273
116;HENRYKA;URBANIAK;650300373;058;274
117;STEFAN;KUROWSKA;643351883;059;276
118;HANNA;KUROWSKA;623968939;059;277
119;S£AWOMIR;KOWALEWSKI;624153625;060;279
120;LENA;KOWALEWSKI;621887333;060;280
121;PRZEMYS£AW;PIASECKA;697012892;061;282
122;BRONIS£AWA;PIASECKA;625532662;061;283
123;MATEUSZ;STEFA—SKI;610063944;062;285
124;JANINA;STEFA—SKI;669766561;062;286
125;DANIEL;BUKOWSKI;648957784;063;288
126;ANETA;BUKOWSKI;666805206;063;289
127;JAKUB;SOCHA;611766964;064;291
128;HENRYKA;SOCHA;628669939;064;292
129;ARKADIUSZ;MAZUR;691551559;065;294
130;ANGELIKA;MAZUR;677865444;065;295
131;WOJCIECH;PIASECKI;689175496;066;297
132;JADWIGA;PIASECKI;677327278;066;298
133;EUGENIUSZ;KOZ£OWSKA;624981307;067;300
134;MA£GORZATA;KOZ£OWSKA;638475055;067;301
135;MACIEJ;JANKOWSKI;648314803;068;303
136;OLGA;JANKOWSKI;657258160;068;304
137;WAC£AW;MAZURKIEWICZ;618566876;069;306
138;WERONIKA;MAZURKIEWICZ;655075809;069;307
139;RAFA£;MADEJ;671805958;070;309
140;GRAØYNA;MADEJ;611664809;070;310
141;MACIEJ;KRUK;621557679;071;312
142;MAJA;KRUK;694396632;071;313
143;£UKASZ;KRAJEWSKA;634432227;072;315
144;CECYLIA;KRAJEWSKA;676436562;072;316
145;FILIP;BARANOWSKA;665717504;073;318
146;TERESA;BARANOWSKA;677887226;073;319
147;DAMIAN;MAJCHRZAK;647289920;074;321
148;IRENA;MAJCHRZAK;611882862;074;322
149;ARTUR;åWI•TEK;670299109;075;324
150;DOMINIKA;åWI•TEK;620419163;075;325
151;BRONIS£AW;SZCZEPANIAK;699691753;076;327
152;LAURA;SZCZEPANIAK;643920902;076;328
153;SYLWESTER;DUDEK;652034760;077;330
154;WERONIKA;DUDEK;621340070;077;331
155;ANDRZEJ;TOMCZYK;613982397;078;333
156;URSZULA;TOMCZYK;676251927;078;334
157;ROBERT;CIESIELSKI;692181860;079;336
158;SYLWIA;CIESIELSKI;607168495;079;337
159;DAWID;WIåNIEWSKA;663054661;080;339
160;GRAØYNA;WIåNIEWSKA;668202147;080;340
161;J”ZEF;PIETRZAK;687543345;081;342
162;J”ZEFA;PIETRZAK;673412476;081;343
163;MAKSYMILIAN;MARCINIAK;669509862;082;345
164;RENATA;MARCINIAK;684799311;082;346
165;BOGUS£AW;PIETRZAK;640343947;083;348
166;IRENA;PIETRZAK;682027498;083;349
167;ROBERT;SOCHA;654058620;084;351
168;KLAUDIA;SOCHA;684536585;084;352
169;SZYMON;KANIA;626654031;085;354
170;BOØENA;KANIA;646930675;085;355
171;TOMASZ;BORKOWSKA;612456674;086;357
172;ZOFIA;BORKOWSKA;648469526;086;358
173;BARTOSZ;CHMIELEWSKA;684222556;087;360
174;CECYLIA;CHMIELEWSKA;605099833;087;361
175;ANDRZEJ;W”JTOWICZ;675537432;088;363
176;KAMILA;W”JTOWICZ;637317876;088;364
177;ZENON;KUREK;685953002;089;366
178;KAROLINA;KUREK;689808843;089;367
179;PIOTR;CIESIELSKA;616457924;090;369
180;MAGDALENA;CIESIELSKA;658569016;090;370
181;ZBIGNIEW;PIETRZAK;636575299;091;372
182;MARTA;PIETRZAK;617894145;091;373
183;DARIUSZ;WESO£OWSKA;659196346;092;375
184;KAMILA;WESO£OWSKA;609408795;092;376
185;EDMUND;KOZ£OWSKA;601057971;093;378
186;JOANNA;KOZ£OWSKA;631526296;093;379
187;OSKAR;SOBCZYK;646054750;094;381
188;FRANCISZKA;SOBCZYK;615424300;094;382
189;FRANCISZEK;MADEJ;618995594;095;384
190;W£ADYS£AWA;MADEJ;604324239;095;385
191;ZDZIS£AW;SKIBA;632841042;096;387
192;ZUZANNA;SKIBA;660442296;096;388
193;KAMIL;BARA—SKA;676176117;097;390
194;AGATA;BARA—SKA;696184521;097;391
195;JULIAN;£UCZAK;634518742;098;393
196;MARIANNA;£UCZAK;675157549;098;394
197;S£AWOMIR;MUCHA;669436599;099;396
198;TERESA;MUCHA;653920740;099;397
199;MICHA£;B£ASZCZYK;675744937;100;399
200;JANINA;B£ASZCZYK;668099837;100;400
201;FILIP;MARCINIAK;660076050;101;402
202;AMELIA;MARCINIAK;690026833;101;403
203;GRZEGORZ;JASI—SKI;619541640;102;405
204;AGATA;JASI—SKI;667297899;102;406
205;IRENEUSZ;MIKO£AJCZYK;647187716;103;408
206;EWELINA;MIKO£AJCZYK;678080730;103;409
207;LUDWIK;åLIWI—SKA;695252902;104;411
208;KAMILA;åLIWI—SKA;607400187;104;412
209;PRZEMYS£AW;SIKORA;622034961;105;414
210;PAULINA;SIKORA;649505198;105;415
211;BOLES£AW;KARPI—SKI;630121110;106;417
212;MARTA;KARPI—SKI;696510896;106;418
213;MARCEL;NOWAK;685086209;107;420
214;EUGENIA;NOWAK;646647281;107;421
215;ROMAN;G£OWACKI;664720017;108;423
216;GENOWEFA;G£OWACKI;634229750;108;424
217;BOGUS£AW;MADEJ;630224462;109;426
218;AGNIESZKA;MADEJ;655893516;109;427
219;JERZY;NOWAKOWSKI;672848102;110;429
220;ALINA;NOWAKOWSKI;617020636;110;430
221;BART£OMIEJ;KONIECZNY;699186015;111;432
222;WIOLETTA;KONIECZNY;632540196;111;433
223;EDMUND;SZEWCZYK;611977175;112;435
224;WANDA;SZEWCZYK;662445563;112;436
225;DOMINIK;SKIBA;646904331;113;438
226;MIROS£AWA;SKIBA;631091738;113;439
227;IGNACY;W£ODARCZYK;696720486;114;441
228;JOLANTA;W£ODARCZYK;670135186;114;442
229;FRANCISZEK;SOKO£OWSKA;632028050;115;444
230;SABINA;SOKO£OWSKA;674288562;115;445
231;HENRYK;KOWALSKA;606246211;116;447
232;LAURA;KOWALSKA;643850165;116;448
233;MIROS£AW;W£ODARCZYK;693378412;117;450
234;J”ZEFA;W£ODARCZYK;624785388;117;451
235;BOLES£AW;NOWICKA;614153806;118;453
236;JADWIGA;NOWICKA;630876652;118;454
237;BART£OMIEJ;K DZIERSKA;606047621;119;456
238;ALEKSANDRA;K DZIERSKA;663123350;119;457
239;ROMAN;KRAWCZYK;698688567;120;459
240;RENATA;KRAWCZYK;693969975;120;460
241;KRZYSZTOF;MA£ECKA;607071436;121;462
242;MICHALINA;MA£ECKA;657952497;121;463
243;ALAN;STEFA—SKA;679860108;122;465
244;KLAUDIA;STEFA—SKA;652496157;122;466
245;SYLWESTER;MACIEJEWSKI;610695148;123;468
246;JOANNA;MACIEJEWSKI;669364334;123;469
247;LUDWIK;WOèNIAK;693525327;124;471
248;BARBARA;WOèNIAK;674715860;124;472
249;STANIS£AW;SAWICKI;697933257;125;474
250;CECYLIA;SAWICKI;649985551;125;475
251;JAN;B•K;668549517;126;477
252;NIKOLA;B•K;638148248;126;478
253;BARTOSZ;K DZIERSKI;669869918;127;480
254;MONIKA;K DZIERSKI;681387097;127;481
255;MIECZYS£AW;PAWLAK;681160629;128;483
256;EUGENIA;PAWLAK;622545028;128;484
257;BRONIS£AW;PAWLAK;677946134;129;486
258;BARBARA;PAWLAK;661538663;129;487
259;ROBERT;MA£ECKA;630427143;130;489
260;KINGA;MA£ECKA;614328309;130;490
261;KONRAD;STEFA—SKI;642356692;131;492
262;REGINA;STEFA—SKI;691207297;131;493
263;ROMAN;KOWALCZYK;622666877;132;495
264;KAROLINA;KOWALCZYK;629239175;132;496
265;SZYMON;KOWAL;683984306;133;498
266;MARTA;KOWAL;671246933;133;499
267;ZYGMUNT;KLIMEK;684682391;134;501
268;ELØBIETA;KLIMEK;648179669;134;502
269;LUDWIK;PRZYBYLSKI;664600810;135;504
270;JANINA;PRZYBYLSKI;618262764;135;505
271;KACPER;LESZCZY—SKI;653231654;136;507
272;MARLENA;LESZCZY—SKI;680747290;136;508
273;TOMASZ;BEDNAREK;660096975;137;510
274;MARTYNA;BEDNAREK;602012794;137;511
275;JULIAN;DOMA—SKA;698915661;138;513
276;MONIKA;DOMA—SKA;622257177;138;514
277;LESZEK;JAROSZ;612428271;139;516
278;DOMINIKA;JAROSZ;685203249;139;517
279;DARIUSZ;WASILEWSKA;628050312;140;519
280;ALICJA;WASILEWSKA;667969170;140;520
281;KACPER;SZEWCZYK;687384910;141;522
282;J”ZEFA;SZEWCZYK;677733819;141;523
283;JULIAN;DOMA—SKI;677883605;142;525
284;EWELINA;DOMA—SKI;658446153;142;526
285;GRZEGORZ;B£ASZCZYK;682632027;143;528
286;MARLENA;B£ASZCZYK;646056624;143;529
287;PATRYK;MARKOWSKA;646015116;144;531
288;URSZULA;MARKOWSKA;692096409;144;532
289;ALAN;SOKO£OWSKI;660487308;145;534
290;KAROLINA;SOKO£OWSKI;680600914;145;535
291;MIROS£AW;SZULC;627049723;146;537
292;ALINA;SZULC;614471227;146;538
293;PRZEMYS£AW;MILEWSKA;681259686;147;540
294;BEATA;MILEWSKA;608726388;147;541
295;ZENON;JANKOWSKI;621463062;148;543
296;ALICJA;JANKOWSKI;661652700;148;544
297;LESZEK;K DZIERSKA;687618485;149;546
298;BOGUS£AWA;K DZIERSKA;635531519;149;547
299;OLIWIER;MICHALAK;674376396;150;549
300;WIKTORIA;MICHALAK;610983514;150;550
301;WALDEMAR;ZALEWSKA;643500288;151;552
302;MONIKA;ZALEWSKA;631222800;151;553
303;ZENON;KOT;616683381;152;555
304;ELØBIETA;KOT;675196645;152;556
305;CEZARY;LIPI—SKI;609567994;153;558
306;LEOKADIA;LIPI—SKI;686088891;153;559
307;LESZEK;OSTROWSKA;625927916;154;561
308;HANNA;OSTROWSKA;651889682;154;562
309;ROBERT;LIPI—SKI;648860743;155;564
310;LIDIA;LIPI—SKI;698307056;155;565
311;RADOS£AW;SOBCZAK;630733943;156;567
312;GRAØYNA;SOBCZAK;671749815;156;568
313;JAKUB;KOZ£OWSKA;644594069;157;570
314;MAGDALENA;KOZ£OWSKA;651059507;157;571
315;W£ODZIMIERZ;MICHALIK;625623641;158;573
316;OLGA;MICHALIK;681884029;158;574
317;OLIWIER;SZYMCZAK;625806242;159;576
318;HENRYKA;SZYMCZAK;647359768;159;577
319;RYSZARD;ZI”£KOWSKA;603040824;160;579
320;BOGUMI£A;ZI”£KOWSKA;691585940;160;580
321;MICHA£;KANIA;664227010;161;582
322;WIOLETTA;KANIA;603407783;161;583
323;KRYSTIAN;OLEJNIK;648298186;162;585
324;EMILIA;OLEJNIK;628350754;162;586
325;BOGUS£AW;TOMASZEWSKI;699971447;163;588
326;GERTRUDA;TOMASZEWSKI;618027575;163;589
327;BOGDAN;£UKASIK;600540514;164;591
328;LAURA;£UKASIK;635786437;164;592
329;WIKTOR;SOKO£OWSKI;653537079;165;594
330;AGATA;SOKO£OWSKI;604366442;165;595
331;STEFAN;WASILEWSKI;665826147;166;597
332;EWA;WASILEWSKI;672614791;166;598
333;MIKO£AJ;SADOWSKA;626724659;167;600
334;SYLWIA;SADOWSKA;696213855;167;601
335;£UKASZ;BRZOZOWSKI;638471377;168;603
336;EWELINA;BRZOZOWSKI;681138326;168;604
337;MAREK;GRABOWSKI;696707117;169;606
338;KATARZYNA;GRABOWSKI;634189977;169;607
339;JANUSZ;MARSZA£EK;625457085;170;609
340;ZUZANNA;MARSZA£EK;610811117;170;610
341;ROMAN;KOSI—SKA;660497336;171;612
342;MARLENA;KOSI—SKA;663710221;171;613
343;FELIKS;DUDEK;601292649;172;615
344;SABINA;DUDEK;637661479;172;616
345;WAC£AW;WIåNIEWSKI;660582669;173;618
346;WIES£AWA;WIåNIEWSKI;662635927;173;619
347;MIECZYS£AW;SIKORA;635491531;174;621
348;LAURA;SIKORA;699533726;174;622
349;ZENON;SZCZEPANIAK;690636137;175;624
350;AGATA;SZCZEPANIAK;617477286;175;625
351;STANIS£AW;WILCZY—SKI;625630346;176;627
352;HELENA;WILCZY—SKI;635496678;176;628
353;RADOS£AW;KOWALIK;664243511;177;630
354;ANTONINA;KOWALIK;616029414;177;631
355;J”ZEF;KOZAK;690630361;178;633
356;BEATA;KOZAK;698647939;178;634
357;STANIS£AW;RATAJCZAK;613690373;179;636
358;LIDIA;RATAJCZAK;674575052;179;637
359;ZYGMUNT;KOSI—SKI;683552170;180;639
360;WIES£AWA;KOSI—SKI;644762648;180;640
361;WIKTOR;TOMCZYK;635351088;181;642
362;CECYLIA;TOMCZYK;681978768;181;643
363;ANTONI;BARA—SKA;605467029;182;645
364;MARLENA;BARA—SKA;624080797;182;646
365;ROMAN;KUREK;698190379;183;648
366;SYLWIA;KUREK;688985656;183;649
367;WIES£AW;LASKOWSKI;697891910;184;651
368;J”ZEFA;LASKOWSKI;615934033;184;652
369;WITOLD;ROGOWSKI;637203856;185;654
370;MARTYNA;ROGOWSKI;622527288;185;655
371;CEZARY;BOROWSKI;605225349;186;657
372;MARTYNA;BOROWSKI;643225514;186;658
373;IGOR;CIESIELSKA;693632167;187;660
374;EUGENIA;CIESIELSKA;695735923;187;661
375;NORBERT;CIESIELSKI;651074673;188;663
376;LAURA;CIESIELSKI;659474158;188;664
377;ANTONI;URBAN;699659103;189;666
378;ZOFIA;URBAN;671989273;189;667
379;ZDZIS£AW;JAB£O—SKI;642898979;190;669
380;MARIANNA;JAB£O—SKI;611636576;190;670
381;MARCIN;G£OWACKA;603397294;191;672
382;KATARZYNA;G£OWACKA;624767725;191;673
383;JULIAN;KOWALEWSKI;634617426;192;675
384;HENRYKA;KOWALEWSKI;676429136;192;676
385;ARTUR;KOWALIK;679530150;193;678
386;DANUTA;KOWALIK;609098231;193;679
387;ARKADIUSZ;ZAJ•C;616617957;194;681
388;JULIA;ZAJ•C;630536180;194;682
389;ARTUR;KASPRZAK;634245083;195;684
390;SABINA;KASPRZAK;629272844;195;685
391;DAMIAN;SOCHA;600346142;196;687
392;CZES£AWA;SOCHA;663698760;196;688
393;JAROS£AW;OSTROWSKA;651974461;197;690
394;HELENA;OSTROWSKA;627580179;197;691
395;LUDWIK;W£ODARCZYK;681900909;198;693
396;JOLANTA;W£ODARCZYK;659502944;198;694
397;RAFA£;BARA—SKI;617897186;199;696
398;AGATA;BARA—SKI;661773521;199;697
399;JAROS£AW;SZULC;601559414;200;699
400;MARIOLA;SZULC;622662062;200;700
401;MIECZYS£AW;STASIAK;649654228;201;702
402;DOROTA;STASIAK;662328495;201;703
403;MIKO£AJ;MARKIEWICZ;683028674;202;705
404;ZOFIA;MARKIEWICZ;656858774;202;706
405;ALEKSANDER;SIKORA;693524202;203;708
406;WANDA;SIKORA;607496790;203;709
407;MARIAN;NAWROCKI;690810841;204;711
408;KAMILA;NAWROCKI;650669729;204;712
409;ZENON;NAWROCKI;666568270;205;714
410;WIES£AWA;NAWROCKI;631266037;205;715
411;W£ODZIMIERZ;SZCZEPA—SKI;697905717;206;717
412;TERESA;SZCZEPA—SKI;671163239;206;718
413;MACIEJ;NOWICKI;648280904;207;720
414;OLIWIA;NOWICKI;677756457;207;721
415;DAMIAN;BRZEZI—SKA;694271389;208;723
416;GRAØYNA;BRZEZI—SKA;601622706;208;724
417;GRZEGORZ;OLEJNIK;681883455;209;726
418;HELENA;OLEJNIK;623950148;209;727
419;FRANCISZEK;BEDNARCZYK;678490112;210;729
420;JADWIGA;BEDNARCZYK;630369860;210;730
421;MAKSYMILIAN;MAKOWSKI;683339371;211;732
422;ANGELIKA;MAKOWSKI;611304600;211;733
423;W£ODZIMIERZ;MATUSZEWSKA;678023897;212;735
424;MARZENA;MATUSZEWSKA;651337420;212;736
425;WOJCIECH;GRABOWSKI;641560787;213;738
426;PAULINA;GRABOWSKI;686703076;213;739
427;OSKAR;OLSZEWSKI;601677259;214;741
428;LAURA;OLSZEWSKI;699541226;214;742
429;PAWE£;D•BROWSKA;629866929;215;744
430;MAJA;D•BROWSKA;663543208;215;745
431;OLIWIER;PIASECKA;649014371;216;747
432;PATRYCJA;PIASECKA;630622695;216;748
433;ADRIAN;PIOTROWSKA;660529763;217;750
434;JUSTYNA;PIOTROWSKA;655104813;217;751
435;SYLWESTER;SADOWSKA;653690666;218;753
436;NATALIA;SADOWSKA;679486573;218;754
437;CEZARY;SOSNOWSKI;672843799;219;756
438;RENATA;SOSNOWSKI;677833186;219;757
439;SZYMON;WIERZBICKA;663501022;220;759
440;HELENA;WIERZBICKA;620236297;220;760
441;ANTONI;KACZMARCZYK;617762015;221;762
442;ANNA;KACZMARCZYK;626744315;221;763
443;EDMUND;KUROWSKI;637175584;222;765
444;KINGA;KUROWSKI;631812323;222;766
445;ZDZIS£AW;J”èWIAK;648323889;223;768
446;EWELINA;J”èWIAK;695922302;223;769
447;WAC£AW;MAJCHRZAK;645115559;224;771
448;MAJA;MAJCHRZAK;608480974;224;772
449;WOJCIECH;SOBOLEWSKI;631192899;225;774
450;MICHALINA;SOBOLEWSKI;688923145;225;775
451;ARKADIUSZ;OWCZAREK;642490338;226;777
452;JOANNA;OWCZAREK;688820503;226;778
453;KONRAD;MACIEJEWSKI;674673865;227;780
454;WIES£AWA;MACIEJEWSKI;689699157;227;781
455;S£AWOMIR;DUDEK;601413298;228;783
456;MAGDALENA;DUDEK;625480841;228;784
457;BOGUS£AW;MAJEWSKA;628094815;229;786
458;£UCJA;MAJEWSKA;624509229;229;787
459;STANIS£AW;BARAN;608471731;230;789
460;KAROLINA;BARAN;604606798;230;790
461;ADAM;MIKO£AJCZYK;607835550;231;792
462;ZUZANNA;MIKO£AJCZYK;682545484;231;793
463;ARKADIUSZ;ZI BA;661795438;232;795
464;IRENA;ZI BA;638275925;232;796
465;BRONIS£AW;MICHALIK;687319568;233;798
466;GRAØYNA;MICHALIK;640360817;233;799
467;DARIUSZ;URBANIAK;677540946;234;801
468;BEATA;URBANIAK;641600457;234;802
469;SZYMON;KWIATKOWSKA;665348625;235;804
470;ROZALIA;KWIATKOWSKA;679586297;235;805
471;KAROL;WIåNIEWSKI;680043610;236;807
472;MARZENA;WIåNIEWSKI;621598160;236;808
473;MACIEJ;KONIECZNA;694904507;237;810
474;ALEKSANDRA;KONIECZNA;691392869;237;811
475;HENRYK;KOSI—SKI;689831487;238;813
476;GERTRUDA;KOSI—SKI;674822673;238;814
477;FELIKS;KUROWSKI;668426861;239;816
478;DOMINIKA;KUROWSKI;628540904;239;817
479;DANIEL;KO£ODZIEJCZYK;677479379;240;819
480;ANGELIKA;KO£ODZIEJCZYK;601821826;240;820
481;BOGUS£AW;£UCZAK;680088975;241;822
482;ALICJA;£UCZAK;637071927;241;823
483;ROMAN;OWCZAREK;677472499;242;825
484;ANNA;OWCZAREK;635452170;242;826
485;MICHA£;KARPI—SKI;631036092;243;828
486;IZABELA;KARPI—SKI;645497554;243;829
487;KAROL;SOBCZAK;654980626;244;831
488;KAZIMIERA;SOBCZAK;624607040;244;832
489;GRZEGORZ;MAZUR;671112160;245;834
490;KAMILA;MAZUR;601731024;245;835
491;RADOS£AW;KOWALIK;636758220;246;837
492;SABINA;KOWALIK;605706994;246;838
493;HUBERT;MALINOWSKA;650645718;247;840
494;WERONIKA;MALINOWSKA;629779867;247;841
495;J”ZEF;WAWRZYNIAK;688860932;248;843
496;WANDA;WAWRZYNIAK;664111576;248;844
497;RADOS£AW;MARKOWSKA;691052920;249;846
498;GABRIELA;MARKOWSKA;613186721;249;847
499;WALDEMAR;CIEåLAK;669159896;250;849
500;GRAØYNA;CIEåLAK;680965816;250;850
501;EDMUND;NOWAK;611568653;251;852
502;ALINA;NOWAK;634868493;251;853
503;BOGDAN;PAW£OWSKI;670124527;252;855
504;SYLWIA;PAW£OWSKI;606376917;252;856
505;HENRYK;MAREK;659932629;253;858
506;MICHALINA;MAREK;665343107;253;859
507;TOMASZ;PI•TEK;614039837;254;861
508;OLGA;PI•TEK;677285941;254;862
509;SZYMON;KWIATKOWSKI;601476545;255;864
510;PATRYCJA;KWIATKOWSKI;623073622;255;865
511;DARIUSZ;KACZMARCZYK;617181170;256;867
512;LUCYNA;KACZMARCZYK;654554180;256;868
513;OSKAR;BRZEZI—SKI;679294391;257;870
514;NIKOLA;BRZEZI—SKI;677347951;257;871
515;WOJCIECH;GAJDA;677270041;258;873
516;MAGDALENA;GAJDA;679425245;258;874
517;MARCIN;MATUSIAK;675777131;259;876
518;LIDIA;MATUSIAK;638190918;259;877
519;PAWE£;STASIAK;664198638;260;879
520;ZOFIA;STASIAK;698688659;260;880
521;IRENEUSZ;URBA—SKA;650346216;261;882
522;WERONIKA;URBA—SKA;632461669;261;883
523;TOMASZ;SOWA;654564336;262;885
524;ANNA;SOWA;681154447;262;886
525;JULIAN;KOT;632921408;263;888
526;JADWIGA;KOT;670354225;263;889
527;CZES£AW;KRAJEWSKI;634234431;264;891
528;ROZALIA;KRAJEWSKI;652789996;264;892
529;MI£OSZ;PAW£OWSKA;615770759;265;894
530;AGATA;PAW£OWSKA;678524545;265;895
531;ZENON;KOZIO£;697434130;266;897
532;BARBARA;KOZIO£;681748850;266;898
533;WOJCIECH;DZIEDZIC;663189013;267;900
534;JUSTYNA;DZIEDZIC;650122657;267;901
535;DOMINIK;BORKOWSKA;656460559;268;903
536;ROZALIA;BORKOWSKA;689739916;268;904
537;BOGDAN;SZULC;692077991;269;906
538;DOROTA;SZULC;675822320;269;907
539;PRZEMYS£AW;ØAK;693429987;270;909
540;MARTYNA;ØAK;612789959;270;910
541;KAROL;KOZAK;659797252;271;912
542;MAJA;KOZAK;680671824;271;913
543;EDWARD;WILCZY—SKA;666827077;272;915
544;TERESA;WILCZY—SKA;663179627;272;916
545;MAREK;W”JCIK;638280398;273;918
546;LEOKADIA;W”JCIK;671500794;273;919
547;LECH;KUREK;674490220;274;921
548;LEOKADIA;KUREK;672963197;274;922
549;IGOR;RUTKOWSKA;670737094;275;924
550;HENRYKA;RUTKOWSKA;684606453;275;925
551;MAKSYMILIAN;KASPRZAK;630245709;276;927
